slug,productName,missingFields
flymill-proteinshake-corn-cereal-45,프로틴쉐이크 (콘시리얼),bcaaMg
labnosh-slimshake-strawberry-cookie-crumble-45,슬림쉐이크 (딸기쿠키크럼블),bcaaMg
labnosh-slimshake-earl-grey-milk-tea-45,슬림쉐이크 (얼그레이밀크티),bcaaMg
labnosh-slimshake-super-sweet-corn-45,슬림쉐이크 (초당옥수수),bcaaMg
itthefit-proteinshake-green-tea-latte-40,단백질 쉐이크 (녹차라떼),bcaaMg
lookat-proteinshake-roasted-soy-soboro-45,단백질쉐이크 (볶음콩소보로),bcaaMg
lookat-proteinshake-cinnamon-pecan-45,단백질쉐이크 (시나몬피칸),bcaaMg
lookat-proteinshake-choco-hazelnut-45,단백질쉐이크 (초코헤이즐넛),bcaaMg
benof-proteinshake-misugaru-cereal-40,단백질쉐이크 (미숫가루시리얼),bcaaMg
hyindam-ttukttak-shake-original-60,뚝딱쉐이크 (오리지널),bcaaMg
allthebetter-proteinshake-multi-berry-smoothie-45,단백질쉐이크 (멀티베리스무디),bcaaMg
allthebetter-proteinshake-banana-latte-45,단백질쉐이크 (바나나라떼),bcaaMg
allthebetter-proteinshake-corn-latte-45,단백질쉐이크 (옥수수라떼),bcaaMg
allthebetter-proteinshake-low-sugar-17grain-misugaru-45,단백질쉐이크 (저당 17곡 미숫가루),bcaaMg
allthebetter-proteinshake-low-sugar-black-soy-milk-45,단백질쉐이크 (저당 검은콩두유),bcaaMg
allthebetter-proteinshake-low-sugar-chocolate-mousse-45,단백질쉐이크 (저당 초콜릿무스),bcaaMg
hyindam-ttukttak-shake-seoritae-60,뚝딱쉐이크 (서리태),bcaaMg
hyindam-ttukttak-shake-choco-protein-60,뚝딱쉐이크 (초코프로틴),bcaaMg
hyindam-ttukttak-shake-ppong-latte-50,뚝딱쉐이크 (퐁라떼맛),bcaaMg
benof-proteinshake-chocolate-cereal-40,단백질쉐이크 (초콜릿시리얼),bcaaMg
milit-proteinshake-matcha-choco-cookie-40,단백질쉐이크 (말차초코쿠키맛),bcaaMg
milit-proteinshake-melon-40,단백질쉐이크 (멜론맛),bcaaMg
milit-proteinshake-cereal-40,단백질쉐이크 (시리얼맛),bcaaMg
milit-proteinshake-pistachio-40,단백질쉐이크 (피스타치오맛),bcaaMg
itthefit-proteinshake-banana-40,단백질 쉐이크 (바나나),bcaaMg
flymill-proteinshake-cookie-cream-45,프로틴쉐이크 (쿠키앤크림),bcaaMg
flymill-proteinshake-peanut-butter-45,프로틴쉐이크 (피넛버터),bcaaMg
flymill-proteinshake-pistachio-45,프로틴쉐이크 (피스타치오),bcaaMg
